"CIRCOSCRIZIONE","COLLEGIO_UNINOMINALE","DESCR_LISTA","CANDIDATO","DATA_NASCITA","LUOGO_NASCITA"
"PIEMONTE 2","PIEMONTE 2 - U03 (VERCELLI)","ITALIA SOVRANA E POPOLARE","ANDREA RAVICIOTTI","07/08/1986","GATTINARA (VC)"
"PIEMONTE 2","PIEMONTE 2 - U03 (VERCELLI)","ITALEXIT PER L'ITALIA","DANILO RAMIREZ","12/03/1957","PONTREMOLI (MS)"
"PIEMONTE 2","PIEMONTE 2 - U01 (ALESSANDRIA)","AZIONE - ITALIA VIVA - CALENDA","GIOVANNI BAROSINI","05/07/1960","CAVE (RM)"
"PIEMONTE 2","PIEMONTE 2 - U01 (ALESSANDRIA)","UNIONE POPOLARE CON DE MAGISTRIS","STEFANELLA RAVAZZI","22/01/1953","TORTONA (AL)"
"PIEMONTE 2","PIEMONTE 2 - U01 (ALESSANDRIA)"," +EUROPA","FEDERICO BODO","15/09/1990","VERCELLI"
"PIEMONTE 2","PIEMONTE 2 - U01 (ALESSANDRIA)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","FEDERICO BODO","15/09/1990","VERCELLI"
"PIEMONTE 2","PIEMONTE 2 - U01 (ALESSANDRIA)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","FEDERICO BODO","15/09/1990","VERCELLI"
"PIEMONTE 2","PIEMONTE 2 - U01 (ALESSANDRIA)","ALLEANZA VERDI E SINISTRA","FEDERICO BODO","15/09/1990","VERCELLI"
"PIEMONTE 2","PIEMONTE 2 - U01 (ALESSANDRIA)","MOVIMENTO 5 STELLE","ANTONELLA SCAGNETTI","27/02/1965","CASEI GEROLA (PV)"
"PIEMONTE 2","PIEMONTE 2 - U01 (ALESSANDRIA)","FRATELLI D'ITALIA CON GIORGIA MELONI","RICCARDO MOLINARI","29/07/1983","ALESSANDRIA"
"PIEMONTE 2","PIEMONTE 2 - U01 (ALESSANDRIA)","LEGA PER SALVINI PREMIER","RICCARDO MOLINARI","29/07/1983","ALESSANDRIA"
"PIEMONTE 2","PIEMONTE 2 - U01 (ALESSANDRIA)","FORZA ITALIA","RICCARDO MOLINARI","29/07/1983","ALESSANDRIA"
"PIEMONTE 2","PIEMONTE 2 - U01 (ALESSANDRIA)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","RICCARDO MOLINARI","29/07/1983","ALESSANDRIA"
"PIEMONTE 2","PIEMONTE 2 - U01 (ALESSANDRIA)","ITALIA SOVRANA E POPOLARE","PATRIZIA MILETO","27/06/1966","ALESSANDRIA"
"PIEMONTE 2","PIEMONTE 2 - U01 (ALESSANDRIA)","ITALEXIT PER L'ITALIA","ALBERTO COSTANZO","06/05/1962","TORINO"
"PIEMONTE 2","PIEMONTE 2 - U04 (ASTI)","AZIONE - ITALIA VIVA - CALENDA","BARBARA BAINO","24/03/1969","SORENGO (SVIZZERA)"
"PIEMONTE 2","PIEMONTE 2 - U04 (ASTI)","UNIONE POPOLARE CON DE MAGISTRIS","LORENZA AMEGLIO","07/03/1990","CUNEO"
"PIEMONTE 2","PIEMONTE 2 - U04 (ASTI)"," +EUROPA","ANDREA GHIGNONE","31/05/1973","ASTI"
"PIEMONTE 2","PIEMONTE 2 - U04 (ASTI)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","ANDREA GHIGNONE","31/05/1973","ASTI"
"PIEMONTE 2","PIEMONTE 2 - U04 (ASTI)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","ANDREA GHIGNONE","31/05/1973","ASTI"
"PIEMONTE 2","PIEMONTE 2 - U04 (ASTI)","ALLEANZA VERDI E SINISTRA","ANDREA GHIGNONE","31/05/1973","ASTI"
"PIEMONTE 2","PIEMONTE 2 - U04 (ASTI)","MOVIMENTO 5 STELLE","MASSIMO CERRUTI","05/02/1972","ASTI"
"PIEMONTE 2","PIEMONTE 2 - U04 (ASTI)","FRATELLI D'ITALIA CON GIORGIA MELONI","MARCELLO COPPO","27/11/1978","ASTI"
"PIEMONTE 2","PIEMONTE 2 - U04 (ASTI)","LEGA PER SALVINI PREMIER","MARCELLO COPPO","27/11/1978","ASTI"
"PIEMONTE 2","PIEMONTE 2 - U04 (ASTI)","FORZA ITALIA","MARCELLO COPPO","27/11/1978","ASTI"
"PIEMONTE 2","PIEMONTE 2 - U04 (ASTI)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","MARCELLO COPPO","27/11/1978","ASTI"
"PIEMONTE 2","PIEMONTE 2 - U04 (ASTI)","ITALIA SOVRANA E POPOLARE","GERARDA MONACO","18/07/1995","ALBA (CN)"
"PIEMONTE 2","PIEMONTE 2 - U04 (ASTI)","ITALEXIT PER L'ITALIA","ELENA AGNESE ITALINA MARIA BOBBIO","02/09/1958","MILANO"
"PIEMONTE 2","PIEMONTE 2 - U05 (CUNEO)","AZIONE - ITALIA VIVA - CALENDA","ENRICO COSTA","29/11/1969","CUNEO"
"PIEMONTE 2","PIEMONTE 2 - U05 (CUNEO)","UNIONE POPOLARE CON DE MAGISTRIS","ANIELLO FIERRO DETTO NELLO","18/10/1983","CUNEO"
"PIEMONTE 2","PIEMONTE 2 - U05 (CUNEO)"," +EUROPA","LUCA PIONE","15/02/1994","CUNEO"
"PIEMONTE 2","PIEMONTE 2 - U05 (CUNEO)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","LUCA PIONE","15/02/1994","CUNEO"
"PIEMONTE 2","PIEMONTE 2 - U05 (CUNEO)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","LUCA PIONE","15/02/1994","CUNEO"
"PIEMONTE 2","PIEMONTE 2 - U05 (CUNEO)","ALLEANZA VERDI E SINISTRA","LUCA PIONE","15/02/1994","CUNEO"
"PIEMONTE 2","PIEMONTE 2 - U05 (CUNEO)","MOVIMENTO 5 STELLE","ROSINA SERRATORE","20/03/1973","SAN PIETRO A MAIDA (CZ) "
"PIEMONTE 2","PIEMONTE 2 - U05 (CUNEO)","FRATELLI D'ITALIA CON GIORGIA MELONI","MONICA CIABURRO","12/04/1970","CUNEO"
"PIEMONTE 2","PIEMONTE 2 - U05 (CUNEO)","LEGA PER SALVINI PREMIER","MONICA CIABURRO","12/04/1970","CUNEO"
"PIEMONTE 2","PIEMONTE 2 - U05 (CUNEO)","FORZA ITALIA","MONICA CIABURRO","12/04/1970","CUNEO"
"PIEMONTE 2","PIEMONTE 2 - U05 (CUNEO)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","MONICA CIABURRO","12/04/1970","CUNEO"
"PIEMONTE 2","PIEMONTE 2 - U05 (CUNEO)","ITALIA SOVRANA E POPOLARE","FEDERICO MUSSO","10/07/1997","CUNEO"
"PIEMONTE 2","PIEMONTE 2 - U05 (CUNEO)","ITALEXIT PER L'ITALIA","PAOLO  RADOSTA","20/07/1988","SALUZZO (CN)"
"LOMBARDIA 1","LOMBARDIA 1 - U04 (ROZZANO)","ITALEXIT PER L'ITALIA","ALBERTO GAZZOLA MUTI","11/12/1972","MILANO"
"LOMBARDIA 1","LOMBARDIA 1 - U04 (ROZZANO)","AZIONE - ITALIA VIVA - CALENDA","MARGHERITA ALMERINDA MAZZUOCCOLO","03/09/1960","MILANO"
"LOMBARDIA 1","LOMBARDIA 1 - U04 (ROZZANO)","VITA","FELIX GIUSEPPE DE BRUMATTI","31/03/1966","ZURIGO (SVIZZERA)"
"LOMBARDIA 1","LOMBARDIA 1 - U04 (ROZZANO)","MASTELLA NOI DI CENTRO EUROPEISTI","FRANCESCA CASSANO","29/09/1960","FOGGIA"
"LOMBARDIA 1","LOMBARDIA 1 - U04 (ROZZANO)","ITALIA SOVRANA E POPOLARE","LUCA MANZONI","12/05/1969","MILANO"
"LOMBARDIA 1","LOMBARDIA 1 - U04 (ROZZANO)"," +EUROPA","ILARIA RAMONI","08/12/1977","MELZO"
"LOMBARDIA 1","LOMBARDIA 1 - U04 (ROZZANO)","ALLEANZA VERDI E SINISTRA","ILARIA RAMONI","08/12/1977","MELZO"
"LOMBARDIA 1","LOMBARDIA 1 - U04 (ROZZANO)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","ILARIA RAMONI","08/12/1977","MELZO"
